term,definition,part_of_speech,pronunciation,example,level,subject,tags
blame,责备；归咎,verb,/bleɪm/,Do not blame others for your failure.,gaokao,english,gaokao;core
bother,打扰；麻烦,verb,/ˈbɒðə/,Sorry to bother you so late.,gaokao,english,gaokao;core
brief,简短的；简要的,adjective,/briːf/,He gave a brief introduction to the topic.,gaokao,english,gaokao;core
broad,宽的；广泛的,adjective,/brɔːd/,She has a broad range of interests.,gaokao,english,gaokao;core
burden,负担；重担,noun,/ˈbɜːdn/,Homework should not become a burden.,gaokao,english,gaokao;core
calculate,计算；估计,verb,/ˈkælkjuleɪt/,Let us calculate the total cost.,gaokao,english,gaokao;core
campaign,运动；战役,noun,/kæmˈpeɪn/,The school started a green campaign.,gaokao,english,gaokao;core
capable,有能力的；能干的,adjective,/ˈkeɪpəbl/,She is capable of solving it alone.,gaokao,english,gaokao;core
capture,捕获；夺得,verb,/ˈkæptʃə/,A photo can capture a happy moment.,gaokao,english,gaokao;core
career,职业；生涯,noun,/kəˈrɪə/,He chose teaching as his career.,gaokao,english,gaokao;core
cautious,谨慎的；小心的,adjective,/ˈkɔːʃəs/,Be cautious when crossing the road.,gaokao,english,gaokao;core
ceremony,典礼；仪式,noun,/ˈserəməni/,The opening ceremony was wonderful.,gaokao,english,gaokao;core
challenge,挑战；质疑,noun,/ˈtʃælɪndʒ/,Learning a language is a real challenge.,gaokao,english,gaokao;core
character,性格；角色,noun,/ˈkærəktə/,Honesty is part of his character.,gaokao,english,gaokao;core
charge,收费；控告,verb,/tʃɑːdʒ/,They charge ten yuan for delivery.,gaokao,english,gaokao;core
cheat,欺骗；作弊,verb,/tʃiːt/,Never cheat in an examination.,gaokao,english,gaokao;core
circumstance,情况；环境,noun,/ˈsɜːkəmstəns/,Under no circumstance should you give up.,gaokao,english,gaokao;core
citizen,公民；市民,noun,/ˈsɪtɪzn/,Every citizen should obey the law.,gaokao,english,gaokao;core
claim,声称；索取,verb,/kleɪm/,They claim that the method works.,gaokao,english,gaokao;core
classic,经典的；典型的,adjective,/ˈklæsɪk/,This novel is a classic work.,gaokao,english,gaokao;core
climate,气候；风气,noun,/ˈklaɪmət/,The climate here is warm and wet.,gaokao,english,gaokao;core
combine,结合；联合,verb,/kəmˈbaɪn/,We can combine study with exercise.,gaokao,english,gaokao;core
comment,评论；意见,noun,/ˈkɒment/,His comment made everyone laugh.,gaokao,english,gaokao;core
commit,犯错；承诺,verb,/kəˈmɪt/,He would never commit such a crime.,gaokao,english,gaokao;core
communicate,交流；沟通,verb,/kəˈmjuːnɪkeɪt/,We communicate mainly by email.,gaokao,english,gaokao;core
compare,比较；对比,verb,/kəmˈpeə/,Please compare these two answers.,gaokao,english,gaokao;core
compete,竞争；比赛,verb,/kəmˈpiːt/,Ten teams will compete for the prize.,gaokao,english,gaokao;core
complain,抱怨；投诉,verb,/kəmˈpleɪn/,She likes to complain about the weather.,gaokao,english,gaokao;core
complex,复杂的；难懂的,adjective,/ˈkɒmpleks/,This is a complex social problem.,gaokao,english,gaokao;core
concentrate,集中；专心,verb,/ˈkɒnsntreɪt/,Please concentrate on your homework.,gaokao,english,gaokao;core
conclusion,结论；结尾,noun,/kənˈkluːʒn/,We finally reached the same conclusion.,gaokao,english,gaokao;core
confident,自信的；确信的,adjective,/ˈkɒnfɪdənt/,She feels confident about the test.,gaokao,english,gaokao;core
confirm,确认；证实,verb,/kənˈfɜːm/,Please confirm your booking by email.,gaokao,english,gaokao;core
conflict,冲突；矛盾,noun,/ˈkɒnflɪkt/,A small conflict grew into a quarrel.,gaokao,english,gaokao;core
confuse,使困惑；混淆,verb,/kənˈfjuːz/,These two words often confuse learners.,gaokao,english,gaokao;core
consequence,结果；后果,noun,/ˈkɒnsɪkwəns/,Every choice has a consequence.,gaokao,english,gaokao;core
consider,考虑；认为,verb,/kənˈsɪdə/,Please consider my advice carefully.,gaokao,english,gaokao;core
consist,由…组成；在于,verb,/kənˈsɪst/,These groups consist of five people each.,gaokao,english,gaokao;core
constant,不断的；恒定的,adjective,/ˈkɒnstənt/,His constant effort finally paid off.,gaokao,english,gaokao;core
construct,建造；构建,verb,/kənˈstrʌkt/,Workers will construct a new bridge.,gaokao,english,gaokao;core
consume,消耗；消费,verb,/kənˈsjuːm/,Old machines consume too much power.,gaokao,english,gaokao;core
contain,包含；容纳,verb,/kənˈteɪn/,Fresh fruits contain lots of vitamins.,gaokao,english,gaokao;core
contribute,贡献；促成,verb,/kənˈtrɪbjuːt/,Everyone can contribute to a greener city.,gaokao,english,gaokao;core
convenient,方便的；便利的,adjective,/kənˈviːniənt/,Online shopping is very convenient.,gaokao,english,gaokao;core
convince,使信服；说服,verb,/kənˈvɪns/,His reasons did convince me.,gaokao,english,gaokao;core
cooperate,合作；协作,verb,/kəʊˈɒpəreɪt/,The two schools cooperate on the project.,gaokao,english,gaokao;core
courage,勇气；胆量,noun,/ˈkʌrɪdʒ/,It takes courage to admit a mistake.,gaokao,english,gaokao;core
create,创造；创作,verb,/kriˈeɪt/,Music can create a warm atmosphere.,gaokao,english,gaokao;core
criticize,批评；批判,verb,/ˈkrɪtɪsaɪz/,Do not criticize people in public.,gaokao,english,gaokao;core
culture,文化；教养,noun,/ˈkʌltʃə/,Chinese culture has a long history.,gaokao,english,gaokao;core
curious,好奇的；奇怪的,adjective,/ˈkjʊəriəs/,Children are curious about everything.,gaokao,english,gaokao;core
damage,损害；破坏,noun,/ˈdæmɪdʒ/,The storm caused serious damage.,gaokao,english,gaokao;core
deal,处理；交易,verb,/diːl/,How do you deal with stress?,gaokao,english,gaokao;core
debate,辩论；争论,noun,/dɪˈbeɪt/,The debate lasted two hours.,gaokao,english,gaokao;core
decline,下降；拒绝,verb,/dɪˈklaɪn/,Sales began to decline last year.,gaokao,english,gaokao;core
decorate,装饰；布置,verb,/ˈdekəreɪt/,We will decorate the classroom today.,gaokao,english,gaokao;core
defend,保卫；辩护,verb,/dɪˈfend/,Soldiers defend their country.,gaokao,english,gaokao;core
definite,明确的；确定的,adjective,/ˈdefɪnət/,We need a definite answer today.,gaokao,english,gaokao;core
deliver,递送；发表,verb,/dɪˈlɪvə/,They deliver the parcels every morning.,gaokao,english,gaokao;core
demand,要求；需求,noun,/dɪˈmɑːnd/,There is a strong demand for clean energy.,gaokao,english,gaokao;core
deny,否认；拒绝,verb,/dɪˈnaɪ/,He did deny taking the money.,gaokao,english,gaokao;core
depend,依靠；取决于,verb,/dɪˈpend/,Success may depend on your attitude.,gaokao,english,gaokao;core
describe,描述；形容,verb,/dɪˈskraɪb/,Please describe the picture in English.,gaokao,english,gaokao;core
deserve,应得；值得,verb,/dɪˈzɜːv/,Hard-working students deserve praise.,gaokao,english,gaokao;core
desire,渴望；欲望,noun,/dɪˈzaɪə/,She has a strong desire to travel.,gaokao,english,gaokao;core
despite,尽管；不管,preposition,/dɪˈspaɪt/,He went out despite the heavy rain.,gaokao,english,gaokao;core
destroy,破坏；摧毁,verb,/dɪˈstrɔɪ/,Fire can destroy a whole forest.,gaokao,english,gaokao;core
determine,决定；查明,verb,/dɪˈtɜːmɪn/,Your effort will determine the result.,gaokao,english,gaokao;core
develop,发展；开发；养成,verb,/dɪˈveləp/,We should develop good study habits.,gaokao,english,gaokao;core
devote,奉献；致力于,verb,/dɪˈvəʊt/,She will devote her life to teaching.,gaokao,english,gaokao;core
differ,不同；相异,verb,/ˈdɪfə/,Opinions differ from person to person.,gaokao,english,gaokao;core
distinguish,区分；辨别,verb,/dɪˈstɪŋɡwɪʃ/,Can you distinguish the two sounds?,gaokao,english,gaokao;core
distribute,分发；分配,verb,/dɪˈstrɪbjuːt/,Volunteers distribute books to villages.,gaokao,english,gaokao;core
disturb,打扰；扰乱,verb,/dɪˈstɜːb/,Please do not disturb the sleeping baby.,gaokao,english,gaokao;core
donate,捐赠；捐献,verb,/dəʊˈneɪt/,Many people donate blood every year.,gaokao,english,gaokao;core
doubt,怀疑；疑问,noun,/daʊt/,There is no doubt about his honesty.,gaokao,english,gaokao;core
economy,经济；节约,noun,/ɪˈkɒnəmi/,The local economy grows fast.,gaokao,english,gaokao;core
effect,效果；影响,noun,/ɪˈfekt/,The medicine had an immediate effect.,gaokao,english,gaokao;core
efficient,高效的；效率高的,adjective,/ɪˈfɪʃnt/,This is a more efficient method.,gaokao,english,gaokao;core
effort,努力；尽力,noun,/ˈefət/,Great effort leads to great progress.,gaokao,english,gaokao;core
eliminate,消除；淘汰,verb,/ɪˈlɪmɪneɪt/,We must eliminate careless mistakes.,gaokao,english,gaokao;core
